=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [ 3400/8000]  win=85.5%  states=8695  t=339s
    [ 3500/8000]  win=85.5%  states=8733  t=348s
    [ 3600/8000]  win=85.5%  states=8778  t=358s
    [ 3700/8000]  win=85.6%  states=8822  t=367s
    [ 3800/8000]  win=85.9%  states=8881  t=376s
    [ 3900/8000]  win=86.0%  states=8922  t=385s
    [ 4000/8000]  win=86.2%  states=8966  t=394s
    [ 4100/8000]  win=86.3%  states=9002  t=403s
    [ 4200/8000]  win=86.3%  states=9047  t=412s
    [ 4300/8000]  win=86.4%  states=9078  t=421s
    [ 4400/8000]  win=86.2%  states=9103  t=430s
    [ 4500/8000]  win=86.2%  states=9124  t=443s
    [ 4600/8000]  win=86.4%  states=9153  t=453s
    [ 4700/8000]  win=86.5%  states=9188  t=462s
    [ 4800/8000]  win=86.6%  states=9209  t=471s
    [ 4900/8000]  win=86.7%  states=9230  t=481s
    [ 5000/8000]  win=86.9%  states=9250  t=491s
    [ 5100/8000]  win=86.9%  states=9265  t=502s
    [ 5200/8000]  win=87.0%  states=9290  t=511s
    [ 5300/8000]  win=86.9%  states=9303  t=520s
    [ 5400/8000]  win=87.0%  states=9327  t=529s
    [ 5500/8000]  win=87.1%  states=9352  t=538s
    [ 5600/8000]  win=87.0%  states=9374  t=547s
    [ 5700/8000]  win=87.1%  states=9389  t=557s
    [ 5800/8000]  win=87.1%  states=9407  t=566s
    [ 5900/8000]  win=87.1%  states=9426  t=574s
    [ 6000/8000]  win=87.2%  states=9446  t=583s
    [ 6100/8000]  win=87.2%  states=9451  t=592s
